idx,section,compte,intitule,date,piece,jnl,libelle,debit,credit,solde,lettrage,page
583,FOURNISSEURS,FRESTAU,RESTAURANTS,31/12/2025,,BQ,MB PORT,21.8,,-115.5,F,18
584,FOURNISSEURS,FRESTAU,RESTAURANTS,31/12/2025,,BQ,LE GONE,105.1,,-10.4,F,18
585,FOURNISSEURS,FRESTAU,RESTAURANTS,31/12/2025,,BQ,CLUB SANDWICH,10.4,,0.0,G,18
586,FOURNISSEURS,FRESTAU,RESTAURANTS,12/01/2026,,AC,L'AVENUE,,83.5,-83.5,H,18
587,FOURNISSEURS,FRESTAU,RESTAURANTS,21/01/2026,2026-014,AC,PIZZA DI NAPPO,,110.0,-193.5,K,18
588,FOURNISSEURS,FRESTAU,RESTAURANTS,26/01/2026,294122,AC,MARIE BLACHERE,,22.75,-216.25,H,18
589,FOURNISSEURS,FRESTAU,RESTAURANTS,28/01/2026,A10,AC,LA REALTA,,121.0,-337.25,H,18
590,FOURNISSEURS,FRESTAU,RESTAURANTS,30/01/2026,31,AC,LA PIAZZA,,49.96,-387.21,K,18
591,FOURNISSEURS,FRESTAU,RESTAURANTS,30/01/2026,,BQ,L AVENUE,83.5,,-303.71,H,18
592,FOURNISSEURS,FRESTAU,RESTAURANTS,30/01/2026,,BQ,MARIE BLACHERE,22.75,,-280.96,H,18
593,FOURNISSEURS,FRESTAU,RESTAURANTS,30/01/2026,,BQ,SAMI,121.0,,-159.96,H,18
594,FOURNISSEURS,FRESTAU,RESTAURANTS,23/02/2026,00026306,AC,LE BOUCHON DE LA CAVE,,112.0,-271.96,I,18
595,FOURNISSEURS,FRESTAU,RESTAURANTS,26/02/2026,T34444,AC,POTALA WOK,,17.5,-289.46,I,18
596,FOURNISSEURS,FRESTAU,RESTAURANTS,27/02/2026,,BQ,PIZZA DI NAPPO,110.0,,-179.46,K,18
597,FOURNISSEURS,FRESTAU,RESTAURANTS,27/02/2026,,BQ,PIZZA DELICE,49.96,,-129.5,K,18
598,FOURNISSEURS,FRESTAU,RESTAURANTS,27/02/2026,,BQ,BOUCHON DE LA CAVE,112.0,,-17.5,I,18
599,FOURNISSEURS,FRESTAU,RESTAURANTS,27/02/2026,,BQ,POTALA WOK,17.5,,0.0,I,18
600,FOURNISSEURS,FRESTAU,RESTAURANTS,09/03/2026,,AC,AUX 3 OBUS,,243.5,-243.5,I,18
601,FOURNISSEURS,FRESTAU,RESTAURANTS,10/03/2026,2026-0310,AC,CAFE LES TURBINES,,182.16,-425.66,I,18
602,FOURNISSEURS,FRESTAU,RESTAURANTS,24/03/2026,,AC,LES 2 STADES,,142.0,-567.66,I,18
603,FOURNISSEURS,FRESTAU,RESTAURANTS,31/03/2026,,BQ,LES 2 STADES,142.0,,-425.66,I,18
604,FOURNISSEURS,FRESTAU,RESTAURANTS,31/03/2026,,BQ,AUX TROIS OBUS,243.5,,-182.16,I,18
605,FOURNISSEURS,FRESTAU,RESTAURANTS,31/03/2026,,BQ,LES TURBINES,182.16,,0.0,I,18
606,FOURNISSEURS,FRESTAU,RESTAURANTS,08/04/2026,46,AC,SO CLUB,,65.6,-65.6,J,18
607,FOURNISSEURS,FRESTAU,RESTAURANTS,17/04/2026,,AC,LES 2 STADES,,12.5,-78.1,J,18
608,FOURNISSEURS,FRESTAU,RESTAURANTS,17/04/2026,A9480,AC,LA REALTA,,33.9,-112.0,J,18
609,FOURNISSEURS,FRESTAU,RESTAURANTS,27/04/2026,90798,AC,THE RUCK HOTEL,,64.3,-176.3,J,18
610,FOURNISSEURS,FRESTAU,RESTAURANTS,28/04/2026,302896,AC,LES 2 STADES,,126.5,-302.8,J,18
611,FOURNISSEURS,FRESTAU,RESTAURANTS,29/04/2026,24566,AC,L AMERICAIN,,34.8,-337.6,J,18
612,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,2026-04-001,AC,MAISON DE LA ROTISSERIE 50 REPAS,,1800.0,-2137.6,J,18
613,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,,BQ,LES 2 STADES,12.5,,-2125.1,J,18
614,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,,BQ,L'ARENA COMPLEX,65.6,,-2059.5,J,18
615,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,,BQ,SAMI,33.9,,-2025.6,J,18
616,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,,BQ,THE RUCK HOTEL,64.3,,-1961.3,J,18
617,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,,BQ,LES 2 STADES,126.5,,-1834.8,J,19
618,FOURNISSEURS,FRESTAU,RESTAURANTS,30/04/2026,,BQ,LAMERICAIN,34.8,,-1800.0,J,19
619,FOURNISSEURS,FRESTAU,RESTAURANTS,04/05/2026,W7VDQFJ,BQ,VIR INST POUR SAS MAISON DE LA RTISSE REPAS SEMINA,1800.0,,0.0,J,19
620,FOURNISSEURS,FRESTAU,RESTAURANTS,15/05/2026,39036,AC,PIZZACOZY,,31.0,-31.0,J,19
621,FOURNISSEURS,FRESTAU,RESTAURANTS,29/05/2026,,BQ,ELIN 01,31.0,,0.0,J,19
622,FOURNISSEURS,FSECOGEST,SECOGEST,16/07/2025,16423,AC,SECOGEST,,29.28,-29.28,A,19
623,FOURNISSEURS,FSECOGEST,SECOGEST,25/07/2025,6930062,BQ,EVI SECOGEST,29.28,,0.0,A,19
624,FOURNISSEURS,FSECOGEST,SECOGEST,17/10/2025,16954,AC,SECOGEST DSN 07/08/09.2025,,43.92,-43.92,A,19
625,FOURNISSEURS,FSECOGEST,SECOGEST,31/10/2025,17010,AC,SECOGEST,,2100.0,-2143.92,A,19
626,FOURNISSEURS,FSECOGEST,SECOGEST,07/11/2025,W6QQIK0,BQ,VIR INST POUR SECOGEST FACTURE COMPTA ANNUEL SARL,2100.0,,-43.92,A,19
627,FOURNISSEURS,FSECOGEST,SECOGEST,15/01/2026,17528,AC,SECOGEST DSN 10/11/12.2025,,73.2,-117.12,A,19
628,FOURNISSEURS,FSECOGEST,SECOGEST,31/01/2026,17606,AC,SECOGEST,,2100.0,-2217.12,A,19
629,FOURNISSEURS,FSECOGEST,SECOGEST,30/04/2026,18063,AC,SECOGEST,,2100.0,-4317.12,A,19
630,FOURNISSEURS,FSECOGEST,SECOGEST,30/04/2026,18153,AC,SECOGEST DSN 01/02/03.2026,,158.4,-4475.52,A,19
631,FOURNISSEURS,FSECOGEST,SECOGEST,27/05/2026,W80UCPO,BQ,VIR INST POUR SECOGEST COMPTABLE PRESTA SARL WE F,2217.12,,-2258.4,A,19
632,FOURNISSEURS,FSECOGEST,SECOGEST,19/06/2026,4509081,BQ,SA SECOGEST RHONE JURA,2258.4,,0.0,A,19
633,FOURNISSEURS,FSECOGEST,SECOGEST,31/07/2026,18807,AC,SECOGEST,,2100.0,-2100.0,,19
634,FOURNISSEURS,FSECOGEST,SECOGEST,31/07/2026,18898,AC,SECOGEST PAIE 2T26,,205.92,-2305.92,,19
635,FOURNISSEURS,FSEEDANCE,SEEDANCE,21/04/2026,,AC,SEEDANCE,,763.93,-763.93,A,19
636,FOURNISSEURS,FSEEDANCE,SEEDANCE,21/04/2026,W7SPUWD,BQ,VIR INST SEEDANCE - VIDEOS IA E-LEARNING,763.93,,0.0,A,19
637,FOURNISSEURS,FSEEDANCE,SEEDANCE,02/07/2026,,AC,SEEDANCE,,3119.63,-3119.63,B,19
638,FOURNISSEURS,FSEEDANCE,SEEDANCE,02/07/2026,W8AE9ST,BQ,VIR INST SEEDANCE - LIVRAISON CONTENU E-LEARNING GENERE,3119.63,,0.0,B,19
639,FOURNISSEURS,FSFPARIS,STADE FRANCAIS PARIS,20/03/2026,F-2026-0336,AC,STADE FRANCAIS PARIS,,7500.0,-7500.0,A,19
640,FOURNISSEURS,FSFPARIS,STADE FRANCAIS PARIS,20/03/2026,F-2026-0337,AC,STADE FRANCAIS PARIS,,2000.0,-9500.0,A,19
641,FOURNISSEURS,FSFPARIS,STADE FRANCAIS PARIS,24/03/2026,W7LWAT2,BQ,VIR INST DE SARL WE FORM DON MECENAT STADE FRANCAI,2000.0,,-7500.0,A,19
642,FOURNISSEURS,FSFPARIS,STADE FRANCAIS PARIS,24/03/2026,W7LWAVD,BQ,VIR INST DE SARL WE FORM F-2026-0336 - SEMINAIRE W,7500.0,,0.0,A,19
643,FOURNISSEURS,FSMART,SMART AINFO,07/07/2025,25-07-2850,AC,SMART AINFO 26 PC PORTABLES,,13000.0,-13000.0,,19
644,FOURNISSEURS,FSMART,SMART AINFO,09/07/2025,W5ZN4PG,BQ,VIR INST SMARTAINFO ACHAT PC,4500.0,,-8500.0,,19
645,FOURNISSEURS,FSMART,SMART AINFO,05/09/2025,25-09-2978,AC,SMART AINFO 18 PC PORTABLES,,9000.0,-17500.0,,19
646,FOURNISSEURS,FSMART,SMART AINFO,05/09/2025,8345698,BQ,EVI SMARTAINFO,4500.0,,-13000.0,,19
647,FOURNISSEURS,FSMART,SMART AINFO,05/09/2025,8345893,BQ,EVI SMARTAINFO,3000.0,,-10000.0,,19
648,FOURNISSEURS,FSMART,SMART AINFO,10/11/2025,0553132,BQ,EVI SMARTAINFO,3000.0,,-7000.0,,19
649,FOURNISSEURS,FSMART,SMART AINFO,16/11/2025,W6S7HEN,BQ,VIR INST SMARTAINFO - LOT PC ELEVES PAIEMENT COMPLEMENTAIRE,3500.0,,-3500.0,,19
650,FOURNISSEURS,FSMART,SMART AINFO,16/11/2025,W6S7HEV,BQ,VIR INST POUR SMARTAINFO PAIEMENT PC SARL WE FORM,4500.0,,1000.0,,20
651,FOURNISSEURS,FSMART,SMART AINFO,14/01/2026,W769763,BQ,VIR INST POUR SMARTAINFO PC - DERNIERE FACTURE SAR,3000.0,,4000.0,,20
652,FOURNISSEURS,FSMART,SMART AINFO,17/03/2026,26-03-0847,AC,SMART AINFO 7 PC PORTABLES,,3500.0,500.0,,20
653,FOURNISSEURS,FSMARTSMAP,SMARTSMAP,11/10/2025,,AC,SMARTSMAP,,78.0,-78.0,A,20
654,FOURNISSEURS,FSMARTSMAP,SMARTSMAP,11/10/2025,W6KCGU2,BQ,VIR INST SMARTSMAP - LICENCE LOGICIEL,78.0,,0.0,A,20
655,FOURNISSEURS,FSNCF,SNCF,23/05/2025,20250523,AC,SNCF,,543.0,-543.0,A,20
656,FOURNISSEURS,FSNCF,SNCF,26/05/2025,1080965616,AC,SNCF,,21.0,-564.0,A,20
657,FOURNISSEURS,FSNCF,SNCF,30/05/2025,,BQ,SNCF,543.0,,-21.0,A,20
658,FOURNISSEURS,FSNCF,SNCF,30/05/2025,,BQ,SNCF,21.0,,0.0,A,20
659,FOURNISSEURS,FSNCF,SNCF,04/06/2025,20250603,AC,SNCF,,156.0,-156.0,A,20
660,FOURNISSEURS,FSNCF,SNCF,30/06/2025,,BQ,SNCF,156.0,,0.0,A,20
661,FOURNISSEURS,FSNCF,SNCF,07/07/2025,20250707,AC,SNCF,,177.8,-177.8,A,20
662,FOURNISSEURS,FSNCF,SNCF,12/07/2025,STJP9V,AC,SNCF (REGLEMENT A IDENTIFIER),,19.0,-196.8,,20
663,FOURNISSEURS,FSNCF,SNCF,16/07/2025,20250716,AC,SNCF,,40.2,-237.0,A,20
664,FOURNISSEURS,FSNCF,SNCF,31/07/2025,,BQ,SNCF,177.8,,-59.2,A,20
665,FOURNISSEURS,FSNCF,SNCF,31/07/2025,,BQ,SNCF,40.2,,-19.0,A,20
666,FOURNISSEURS,FSNCF,SNCF,06/10/2025,1326840124,AC,SNCF,,326.0,-345.0,A,20
667,FOURNISSEURS,FSNCF,SNCF,07/10/2025,2473277135,AC,SNCF,,6.6,-351.6,A,20
668,FOURNISSEURS,FSNCF,SNCF,07/10/2025,2661699267,AC,SNCF,,6.6,-358.2,A,20
669,FOURNISSEURS,FSNCF,SNCF,13/10/2025,264651210562,AC,SNCF,,114.0,-472.2,G,20
670,FOURNISSEURS,FSNCF,SNCF,13/10/2025,W6KGFW3,BQ,VIR INST TRAINLINE GROUP - TRAIN 20-10,114.0,,-358.2,G,20
671,FOURNISSEURS,FSNCF,SNCF,15/10/2025,2201249768,AC,SNCF,,50.4,-408.6,A,20
672,FOURNISSEURS,FSNCF,SNCF,31/10/2025,,BQ,SNCF,6.6,,-402.0,A,20
673,FOURNISSEURS,FSNCF,SNCF,31/10/2025,,BQ,SNCF,326.0,,-76.0,A,20
674,FOURNISSEURS,FSNCF,SNCF,31/10/2025,,BQ,SNCF,6.6,,-69.4,A,20
675,FOURNISSEURS,FSNCF,SNCF,31/10/2025,,BQ,SNCF,50.4,,-19.0,A,20
676,FOURNISSEURS,FSNCF,SNCF,03/11/2025,1065206528,AC,SNCF,,47.0,-66.0,A,20
677,FOURNISSEURS,FSNCF,SNCF,03/11/2025,386114098,AC,SNCF,,190.0,-256.0,A,20
678,FOURNISSEURS,FSNCF,SNCF,05/11/2025,2372076793,AC,SNCF,,94.0,-350.0,A,20
679,FOURNISSEURS,FSNCF,SNCF,24/11/2025,264651207738,AC,SNCF,,216.0,-566.0,F,20
680,FOURNISSEURS,FSNCF,SNCF,24/11/2025,W6TIOUR,BQ,VIR INST TRAINLINE GROUP - TRAIN,216.0,,-350.0,F,20
681,FOURNISSEURS,FSNCF,SNCF,25/11/2025,264789143052,AC,SNCF,,239.0,-589.0,F,20
682,FOURNISSEURS,FSNCF,SNCF,25/11/2025,W6TNVT2,BQ,VIR INST POUR ANTHONY GRANDCLEMENT - RBT TRAIN (FACT. REGLEE PAR LUI),239.0,,-350.0,F,20
683,FOURNISSEURS,FSNCF,SNCF,28/11/2025,,BQ,SNCF,47.0,,-303.0,A,20
684,FOURNISSEURS,FSNCF,SNCF,28/11/2025,,BQ,SNCF,190.0,,-113.0,A,20
685,FOURNISSEURS,FSNCF,SNCF,28/11/2025,,BQ,SNCF,94.0,,-19.0,A,20
686,FOURNISSEURS,FSNCF,SNCF,08/01/2026,3955015774,AC,SNCF,,157.8,-176.8,B,20
687,FOURNISSEURS,FSNCF,SNCF,12/01/2026,2868523229,AC,SNCF,,8.3,-185.1,B,20
688,FOURNISSEURS,FSNCF,SNCF,17/01/2026,,AC,SNCF,,96.0,-281.1,B,20
689,FOURNISSEURS,FSNCF,SNCF,19/01/2026,1305772202,AC,SNCF,,6.6,-287.7,B,20
690,FOURNISSEURS,FSNCF,SNCF,19/01/2026,2667285472,AC,SNCF,,6.6,-294.3,B,20
691,FOURNISSEURS,FSNCF,SNCF,20/01/2026,4055366230,AC,SNCF,,63.0,-357.3,B,21
692,FOURNISSEURS,FSNCF,SNCF,22/01/2026,1437602952,AC,SNCF,,224.0,-581.3,B,21
693,FOURNISSEURS,FSNCF,SNCF,26/01/2026,2145329433,AC,SNCF,,6.6,-587.9,B,21
694,FOURNISSEURS,FSNCF,SNCF,26/01/2026,2553234108,AC,SNCF,,6.6,-594.5,B,21
695,FOURNISSEURS,FSNCF,SNCF,30/01/2026,761320766,AC,SNCF,,6.6,-601.1,H,21
696,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,157.8,,-443.3,B,21
697,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,8.3,,-435.0,B,21
698,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,6.6,,-428.4,B,21
699,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,6.6,,-421.8,B,21
700,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,96.0,,-325.8,B,21
701,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,63.0,,-262.8,B,21
702,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,224.0,,-38.8,B,21
703,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,6.6,,-32.2,B,21
704,FOURNISSEURS,FSNCF,SNCF,30/01/2026,,BQ,SNCF,6.6,,-25.6,B,21
705,FOURNISSEURS,FSNCF,SNCF,12/02/2026,2141787567,AC,SNCF,,210.8,-236.4,C,21
706,FOURNISSEURS,FSNCF,SNCF,27/02/2026,,BQ,SNCF,210.8,,-25.6,C,21
707,FOURNISSEURS,FSNCF,SNCF,27/02/2026,,BQ,SNCF,90.0,,64.4,C,21
708,FOURNISSEURS,FSNCF,SNCF,27/02/2026,,BQ,SNCF,351.0,,415.4,D,21
709,FOURNISSEURS,FSNCF,SNCF,09/03/2026,2564268995,AC,SNCF,,419.0,-3.6,D,21
710,FOURNISSEURS,FSNCF,SNCF,09/03/2026,277612871,AC,SNCF,,90.0,-93.6,C,21
711,FOURNISSEURS,FSNCF,SNCF,09/03/2026,300106225,AC,SNCF,,351.0,-444.6,D,21
712,FOURNISSEURS,FSNCF,SNCF,11/03/2026,2658114502,AC,SNCF,,19.0,-463.6,D,21
713,FOURNISSEURS,FSNCF,SNCF,24/03/2026,4093651706,AC,SNCF,,215.0,-678.6,D,21
714,FOURNISSEURS,FSNCF,SNCF,31/03/2026,,BQ,SNCF,215.0,,-463.6,D,21
715,FOURNISSEURS,FSNCF,SNCF,31/03/2026,,BQ,SNCF,19.0,,-444.6,D,21
716,FOURNISSEURS,FSNCF,SNCF,31/03/2026,,BQ,SNCF,419.0,,-25.6,D,21
717,FOURNISSEURS,FSNCF,SNCF,16/04/2026,1463588228,AC,SNCF,,167.0,-192.6,E,21
718,FOURNISSEURS,FSNCF,SNCF,21/04/2026,2003048185,AC,SNCF,,197.0,-389.6,E,21
719,FOURNISSEURS,FSNCF,SNCF,21/04/2026,2547177118,AC,SNCF,,43.0,-432.6,,21
720,FOURNISSEURS,FSNCF,SNCF,30/04/2026,,BQ,SNCF,6.6,,-426.0,H,21
721,FOURNISSEURS,FSNCF,SNCF,30/04/2026,,BQ,SNCF,167.0,,-259.0,E,21
722,FOURNISSEURS,FSNCF,SNCF,30/04/2026,,BQ,SNCF,197.0,,-62.0,E,21
723,FOURNISSEURS,FSNCF,SNCF,04/05/2026,PU8V9X,AC,SNCF,,6.8,-68.8,E,21
724,FOURNISSEURS,FSNCF,SNCF,29/05/2026,,BQ,SNCF,6.8,,-62.0,E,21
725,FOURNISSEURS,FSNCF,SNCF,09/07/2026,647902588,AC,SNCF,,396.0,-458.0,,21
726,FOURNISSEURS,FSOTEAM,SO'TEAM,04/02/2026,f-2026-55,AC,SO'TEAM,,3300.0,-3300.0,A,21
727,FOURNISSEURS,FSOTEAM,SO'TEAM,12/03/2026,W7JU9QE,BQ,VIR INST DE SARL WE FORM PARTENARIAT SO TEAM SARL,3300.0,,0.0,A,21
728,FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,11/08/2025,0825-WE-FORM,AC,SPLIT PAULINE ZEH,,2338.71,-2338.71,A,21
729,FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,11/08/2025,7569288,BQ,EVI SPLIT 22015492DXJ PRESTATION PAULINE,2338.71,,0.0,A,21
730,FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,01/10/2025,1025-WE-FORM,AC,SPLIT PAULINE ZEH,,2338.71,-2338.71,A,21
731,FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,02/10/2025,9272124,BQ,EVI SPLIT,2338.71,,0.0,A,21
732,FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,11/11/2025,1125-WE-FORM,AC,SPLIT PAULINE ZEH,,838.71,-838.71,A,21
733,FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,04/12/2025,W6WQA3U,BQ,VIR INST POUR SPLIT PRESTA FIN SARL WE FORM SPLIT,838.71,,0.0,A,22
734,FOURNISSEURS,FSTADEAURI,STADE AURILLACOIS,04/02/2026,2026-0204,AC,STADE AURILLACOIS,,6106.0,-6106.0,A,22
735,FOURNISSEURS,FSTADEAURI,STADE AURILLACOIS,06/02/2026,W7BWUI5,BQ,VIR INST POUR AURILLAC ASSO MISE A DISPOSITION AU,6106.0,,0.0,A,22
736,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,05/01/2026,1,AC,SUIVIJURY,,225.0,-225.0,A,22
737,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,01/02/2026,2,AC,SUIVIJURY,,250.0,-475.0,A,22
738,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,06/02/2026,W7BWVKM,BQ,VIR INST POUR PIERRICK MALLET PRESTA FORMATEUR JAN,475.0,,0.0,A,22
739,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,01/03/2026,3,AC,SUIVIJURY,,820.0,-820.0,B,22
740,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,04/03/2026,W7HHJJS,BQ,VIR INST DE SARL WE FORM PRESTA FORMATEUR FEV SARL,820.0,,0.0,B,22
741,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,01/04/2026,4,AC,SUIVIJURY,,700.0,-700.0,C,22
742,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,16/05/2026,W7Z3WIQ,BQ,VIR INST POUR PIERRICK MALLET FORMATEUR MAI SARL,680.0,,-20.0,C,22
743,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,16/05/2026,W7Z3WLB,BQ,VIR INST POUR PIERRICK MALLET FORMATEUR AVRIL SARL,700.0,,680.0,C,22
744,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,31/05/2026,5,AC,SUIVIJURY,,680.0,0.0,C,22
745,FOURNISSEURS,FSUIVIJURY,SUIVIJURY,20/07/2026,W8EHKV3,BQ,VIR INST POUR PIERRICK MALLET FORMATEUR JUIN SARL,680.0,,680.0,,22
746,FOURNISSEURS,FSUPABASE,SUPABASE,01/09/2025,,AC,SUPABASE,,87.97,-87.97,B,22
747,FOURNISSEURS,FSUPABASE,SUPABASE,01/09/2025,8197752,BQ,EVI SUPABASE - HEBERGEMENT BASE DE DONNEES,87.97,,0.0,B,22
748,FOURNISSEURS,FTIMOTEO,TIMOTEO ADRIEN,15/06/2026,W86DES8,BQ,VIR INST POUR ADRIEN TIMOTEO FORMATEUR BPJEPS SARL,3500.0,,3500.0,A,22
749,FOURNISSEURS,FTIMOTEO,TIMOTEO ADRIEN,23/06/2026,21,AC,TIMOTEO ADRIEN,,3500.0,0.0,A,22
750,FOURNISSEURS,FTLG,TLG EXPERTISE,26/02/2026,02-2026-17,AC,TLG EXPERTISE,,1783.36,-1783.36,A,22
751,FOURNISSEURS,FTLG,TLG EXPERTISE,26/02/2026,W7FQ0N0,BQ,"VIR INST DE SARL WE FORM NOTE FEV (HALL, PERSODELA",1783.36,,0.0,A,22
752,FOURNISSEURS,FTLG,TLG EXPERTISE,09/06/2026,06-2026-19,AC,TLG EXPERTISE,,3935.56,-3935.56,A,22
753,FOURNISSEURS,FTLG,TLG EXPERTISE,18/06/2026,W86ZRUG,BQ,VIR INST POUR SAS TLG GROUP SALLE PARIS SARL WE F,3935.56,,0.0,A,22
754,FOURNISSEURS,FUBER,UBER,06/10/2025,0029096,AC,UBER,,16.9,-16.9,A,22
755,FOURNISSEURS,FUBER,UBER,06/10/2025,0064421,AC,UBER,,12.95,-29.85,A,22
756,FOURNISSEURS,FUBER,UBER,31/10/2025,,BQ,UBER,16.9,,-12.95,A,22
757,FOURNISSEURS,FUBER,UBER,31/10/2025,,BQ,UBER,12.95,,0.0,A,22
758,FOURNISSEURS,FUBER,UBER,03/11/2025,0000181,AC,UBER,,24.86,-24.86,B,22
759,FOURNISSEURS,FUBER,UBER,03/11/2025,0023215,AC,UBER,,35.91,-60.77,B,22
760,FOURNISSEURS,FUBER,UBER,03/11/2025,0157038,AC,UBER,,24.1,-84.87,B,23
761,FOURNISSEURS,FUBER,UBER,04/11/2025,0002512,AC,UBER,,15.91,-100.78,,23
762,FOURNISSEURS,FUBER,UBER,04/11/2025,0569115,AC,UBER,,20.94,-121.72,,23
763,FOURNISSEURS,FUBER,UBER,04/11/2025,0008263,AC,UBER,,29.97,-151.69,,23
764,FOURNISSEURS,FUBER,UBER,05/11/2025,0080524,AC,UBER,,33.99,-185.68,B,23
765,FOURNISSEURS,FUBER,UBER,05/11/2025,0109490,AC,UBER,,25.97,-211.65,,23
766,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,24.1,,-187.55,B,23
767,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,24.86,,-162.69,B,23
768,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,35.91,,-126.78,B,23
769,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,27.89,,-98.89,,23
770,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,20.42,,-78.47,,23
771,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,28.95,,-49.52,,23
772,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,33.99,,-15.53,B,23
773,FOURNISSEURS,FUBER,UBER,28/11/2025,,BQ,UBER,24.42,,8.89,,23
774,FOURNISSEURS,FUBER,UBER,11/03/2026,0013961,AC,UBER,,16.46,-7.57,,23
775,FOURNISSEURS,FUBER,UBER,31/03/2026,,BQ,UBER,11.95,,4.38,,23
776,FOURNISSEURS,FUSBPA,USBPA RUGBY,22/04/2026,2026/04/43,AC,USBPA RUGBY,,720.0,-720.0,A,23
777,FOURNISSEURS,FUSBPA,USBPA RUGBY,23/04/2026,W7T4OR7,BQ,VIR INST POUR USBPA RUGBY PLACE FINAL WE- RUGBY / W,720.0,,0.0,A,23
778,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,13/10/2025,F20250901,AC,VIRTUS MENTIS,,1125.0,-1125.0,A,23
779,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,21/10/2025,9870171,BQ,EVI FREDERIC POURCEL,1125.0,,0.0,A,23
780,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,31/10/2025,F20251001,AC,VIRTUS MENTIS,,675.0,-675.0,A,23
781,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,01/11/2025,F20251101,AC,VIRTUS MENTIS,,1075.0,-1750.0,A,23
782,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,21/11/2025,W6T38BS,BQ,VIR INST POUR FREDERIC POURCEL FACTURE NOV SARL W,675.0,,-1075.0,A,23
783,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,22/12/2025,W70KA7E,BQ,VIR INST POUR FREDERIC POURCEL FACTURE NOVEMBRE SA,1075.0,,0.0,A,23
784,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,22/12/2025,W70KA8Y,BQ,VIR INST POUR FREDERIC POURCEL FACTURE DECEMBRE SA,1050.0,,1050.0,A,23
785,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,26/12/2025,F20251201,AC,VIRTUS MENTIS,,1050.0,0.0,A,23
786,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,29/01/2026,F20260101,AC,VIRTUS MENTIS,,1100.0,-1100.0,A,23
787,FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,02/02/2026,W79VU7D,BQ,VIR INST POUR FREDERIC POURCEL FACTURE JANV SARL,1100.0,,0.0,A,23
788,FOURNISSEURS,FVISTA,VISTAPRINT,28/01/2026,1400001185,AC,VISTAPRINT,,1022.5,-1022.5,A,23
789,FOURNISSEURS,FVISTA,VISTAPRINT,02/02/2026,W79VU0K,BQ,VIR INST POUR XAVIER GAUSSENS FACTURE VISTA SARL,1022.5,,0.0,A,23
790,GENERAUX,1013000,Capital appele verse,24/04/2025,,BQ,VIR WE FORM,,6000.0,-6000.0,,24
791,GENERAUX,1640000,Emprunts,24/05/2025,8976405,BQ,REALISAT PRET,,82000.0,-82000.0,,24
